2026/04/22 11:44:35 Warm-up period: 1/20 price points collected
2026/04/22 11:44:35 Warm-up period: 2/20 price points collected
2026/04/22 11:44:35 Warm-up period: 3/20 price points collected
2026/04/22 11:44:35 Warm-up period: 4/20 price points collected
2026/04/22 11:44:35 Warm-up period: 5/20 price points collected
2026/04/22 11:44:35 Warm-up period: 6/20 price points collected
2026/04/22 11:44:35 Warm-up period: 7/20 price points collected
2026/04/22 11:44:35 Warm-up period: 8/20 price points collected
2026/04/22 11:44:35 Warm-up period: 9/20 price points collected
2026/04/22 11:44:35 Warm-up period: 10/20 price points collected
2026/04/22 11:44:35 Warm-up period: 11/20 price points collected
2026/04/22 11:44:35 Warm-up period: 12/20 price points collected
2026/04/22 11:44:35 Warm-up period: 13/20 price points collected
2026/04/22 11:44:35 Warm-up period: 14/20 price points collected
2026/04/22 11:44:35 Warm-up period: 15/20 price points collected
2026/04/22 11:44:35 Warm-up period: 16/20 price points collected
2026/04/22 11:44:35 Warm-up period: 17/20 price points collected
2026/04/22 11:44:35 Warm-up period: 18/20 price points collected
2026/04/22 11:44:35 Warm-up period: 19/20 price points collected
2026/04/22 11:44:35 Available balance: 1000. Ignoring for budget calculation.
2026/04/22 11:44:35 Opened SELL position at 87.99
2026/04/22 11:44:35 Tick 1000: Price 87.94 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:35 Tick 2000: Price 87.98 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:35 Tick 3000: Price 88 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:35 Tick 4000: Price 88.03 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:36 Tick 5000: Price 87.84 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:36 Tick 6000: Price 87.86 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:36 Tick 7000: Price 87.85 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:36 Tick 8000: Price 88.09 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:36 Tick 9000: Price 88.14 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:37 Tick 10000: Price 88.13 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:37 Tick 11000: Price 88.01 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:37 Tick 12000: Price 88.14 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:37 Tick 13000: Price 88 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:37 Tick 14000: Price 87.95 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 15000: Price 87.89 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 16000: Price 87.72 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 17000: Price 87.66 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 18000: Price 87.61 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 19000: Price 87.6 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:38 Tick 20000: Price 87.74 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:39 Tick 21000: Price 87.93 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:39 Tick 22000: Price 88.15 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:39 Tick 23000: Price 87.94 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 24000: Price 87.88 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 25000: Price 88.43 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 26000: Price 88.7 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 27000: Price 88.72 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 28000: Price 88.69 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:40 Tick 29000: Price 88.41 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:41 Tick 30000: Price 88.53 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:41 Tick 31000: Price 88.4 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:41 Tick 32000: Price 88.45 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:41 Tick 33000: Price 88.5 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:41 Tick 34000: Price 88.45 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 35000: Price 88.45 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 36000: Price 88.42 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 37000: Price 88.39 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 38000: Price 88.29 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 39000: Price 88.29 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:42 Tick 40000: Price 88.2 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:43 Tick 41000: Price 88.22 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:43 Tick 42000: Price 88.2 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:43 Tick 43000: Price 88.19 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:43 Tick 44000: Price 88.15 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:43 Tick 45000: Price 88.3 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:44 Tick 46000: Price 88.3 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:44 Tick 47000: Price 88.33 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:44 Tick 48000: Price 88.33 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:44 Tick 49000: Price 88.26 | Position SELL at 87.99 | Still waiting for exit...
2026/04/22 11:44:44 Tick 50000: Price 88.39 | Position SELL at 87.99 | Still waiting for exit...
